Product Name,Image File,Category
Tide,Tide.png,Detergents and Cleaning
Ariel,Ariel.png,Detergents and Cleaning
Bonux,Bonux.jpg,Detergents and Cleaning
Omo,Omo.png,Detergents and Cleaning
Persil,Persil.png,Detergents and Cleaning
Fairy,Fairy.jpg,Detergents and Cleaning
JIF,JIF.jpg,Detergents and Cleaning
Comfort,Comfort.jpg,Detergents and Cleaning
Downy,Downy.jpg,Detergents and Cleaning
Harpic,Harpic.jpg,Detergents and Cleaning
Dac,DAC.jpg,Detergents and Cleaning
Dettol,Detol.jpg,Detergents and Cleaning
Drummer,Drummer.jpg,Detergents and Cleaning
Clorox,Clorox.jpg,Detergents and Cleaning
